Date Reported As Of,Description,Current Phase,Design Start,Forecast Completion
01/2019,"The Southern Brooklyn B82 Select Bus Service is part of the Select Bus Service (SBS) program developed in partnership with NYCT. The Southern Brooklyn Crosstown bus route aims to improve bus speeds, reliability, and driver and pedestrian safety along a 10-mile bus route in the Borough of Brooklyn from the Gravesend to Spring Creek neighborhoods. The B82 SBS will be launched in 2018 by NYC DOT and NYCTA. The capital project focuses on the 7.5-mile portion of the entire SBS corridor along Kings Highway (Segment K), Flatlands Avenue (Segment F), and Pennsylvania Avenue (Segment P). Along these three corridors, the capital project will build a combination of new bus lanes with high-quality bus stations and signal timing changes, as well as safety improvements for bus passengers, pedestrians, and all street users. Bus stops will be rehabilitated with expanded ADA-accessible platforms, bus shelters, lighting, and seating. Concrete curb extensions and central medians will be built to reduce crossing distances. Additionally, all the medians along Kings Highway will be reconstructed bringing them to a state of good repair along with the bus stops.",Design,12/07/2017,05/09/2024
05/2019,"The Southern Brooklyn B82 Select Bus Service is part of the Select Bus Service (SBS) program developed in partnership with NYCT. The Southern Brooklyn Crosstown bus route aims to improve bus speeds, reliability, and driver and pedestrian safety along a 10-mile bus route in the Borough of Brooklyn from the Gravesend to Spring Creek neighborhoods. The B82 SBS will be launched in 2018 by NYC DOT and NYCTA. The capital project focuses on the 7.5-mile portion of the entire SBS corridor along Kings Highway (Segment K), Flatlands Avenue (Segment F), and Pennsylvania Avenue (Segment P). Along these three corridors, the capital project will build a combination of new bus lanes with high-quality bus stations and signal timing changes, as well as safety improvements for bus passengers, pedestrians, and all street users. Bus stops will be rehabilitated with expanded ADA-accessible platforms, bus shelters, lighting, and seating. Concrete curb extensions and central medians will be built to reduce crossing distances. Additionally, all the medians along Kings Highway will be reconstructed bringing them to a state of good repair along with the bus stops.",Design,12/07/2017,05/09/2024
09/2019,"The Southern Brooklyn B82 Select Bus Service is part of the Select Bus Service (SBS) program developed in partnership with NYCT. The Southern Brooklyn Crosstown bus route aims to improve bus speeds, reliability, and driver and pedestrian safety along a 10-mile bus route in the Borough of Brooklyn from the Gravesend to Spring Creek neighborhoods. The B82 SBS will be launched in 2018 by NYC DOT and NYCTA. The capital project focuses on the 7.5-mile portion of the entire SBS corridor along Kings Highway (Segment K), Flatlands Avenue (Segment F), and Pennsylvania Avenue (Segment P). Along these three corridors, the capital project will build a combination of new bus lanes with high-quality bus stations and signal timing changes, as well as safety improvements for bus passengers, pedestrians, and all street users. Bus stops will be rehabilitated with expanded ADA-accessible platforms, bus shelters, lighting, and seating. Concrete curb extensions and central medians will be built to reduce crossing distances. Additionally, all the medians along Kings Highway will be reconstructed bringing them to a state of good repair along with the bus stops.",Design,12/07/2017,
01/2020,"The Southern Brooklyn B82 Select Bus Service is part of the Select Bus Service (SBS) program developed in partnership with NYCT. The Southern Brooklyn Crosstown bus route aims to improve bus speeds, reliability, and driver and pedestrian safety along a 10-mile bus route in the Borough of Brooklyn from the Gravesend to Spring Creek neighborhoods. The B82 SBS will be launched in 2018 by NYC DOT and NYCTA. The capital project focuses on the 7.5-mile portion of the entire SBS corridor along Kings Highway (Segment K), Flatlands Avenue (Segment F), and Pennsylvania Avenue (Segment P). Along these three corridors, the capital project will build a combination of new bus lanes with high-quality bus stations and signal timing changes, as well as safety improvements for bus passengers, pedestrians, and all street users. Bus stops will be rehabilitated with expanded ADA-accessible platforms, bus shelters, lighting, and seating. Concrete curb extensions and central medians will be built to reduce crossing distances. Additionally, all the medians along Kings Highway will be reconstructed bringing them to a state of good repair along with the bus stops.",Design,12/07/2017,03/13/2024
05/2020,"The Southern Brooklyn B82 Select Bus Service is part of the Select Bus Service (SBS) program developed in partnership with NYCT. The Southern Brooklyn Crosstown bus route aims to improve bus speeds, reliability, and driver and pedestrian safety along a 10-mile bus route in the Borough of Brooklyn from the Gravesend to Spring Creek neighborhoods. The B82 SBS will be launched in 2018 by NYC DOT and NYCTA. The capital project focuses on the 7.5-mile portion of the entire SBS corridor along Kings Highway (Segment K), Flatlands Avenue (Segment F), and Pennsylvania Avenue (Segment P). Along these three corridors, the capital project will build a combination of new bus lanes with high-quality bus stations and signal timing changes, as well as safety improvements for bus passengers, pedestrians, and all street users. Bus stops will be rehabilitated with expanded ADA-accessible platforms, bus shelters, lighting, and seating. Concrete curb extensions and central medians will be built to reduce crossing distances. Additionally, all the medians along Kings Highway will be reconstructed bringing them to a state of good repair along with the bus stops.",Design,12/07/2017,
10/2020,"The Southern Brooklyn B82 Select Bus Service is part of the Select Bus Service (SBS) program developed in partnership with NYCT. The Southern Brooklyn Crosstown bus route aims to improve bus speeds, reliability, and driver and pedestrian safety along a 10-mile bus route in the Borough of Brooklyn from the Gravesend to Spring Creek neighborhoods. The B82 SBS will be launched in 2018 by NYC DOT and NYCTA. The capital project focuses on the 7.5-mile portion of the entire SBS corridor along Kings Highway (Segment K), Flatlands Avenue (Segment F), and Pennsylvania Avenue (Segment P). Along these three corridors, the capital project will build a combination of new bus lanes with high-quality bus stations and signal timing changes, as well as safety improvements for bus passengers, pedestrians, and all street users. Bus stops will be rehabilitated with expanded ADA-accessible platforms, bus shelters, lighting, and seating. Concrete curb extensions and central medians will be built to reduce crossing distances. Additionally, all the medians along Kings Highway will be reconstructed bringing them to a state of good repair along with the bus stops.",Design,12/07/2017,11/11/2024
01/2019,Reconstruction of Grand Concourse from E Fordham Rd to E 198th Street,Design,11/26/2018,06/21/2024
05/2019,Reconstruction of Grand Concourse from E Fordham Rd to E 198th Street,Design,11/26/2018,11/06/2023
09/2019,Reconstruction of Grand Concourse from E Fordham Rd to E 198th Street,Design,11/26/2018,
01/2020,Reconstruction of Grand Concourse from E Fordham Rd to E 198th Street,Design,11/26/2018,
05/2020,Reconstruction of Grand Concourse from E Fordham Rd to E 198th Street,Design,11/26/2018,
10/2020,Reconstruction of Grand Concourse from E Fordham Rd to E 198th Street,Design,11/26/2018,
01/2019,4th Ave Safety Improvements Phase B - from Atlantic to 8th Street,Design,05/28/2018,05/13/2024
10/2020,4th Ave Safety Improvements Phase B - from Atlantic to 8th Street,Design,01/07/2021,10/15/2028
03/2018,"Reapir the East 175th Street bridge over Metro North Railroad, the Bronx",Design,03/11/2008,07/07/2021
08/2018,"Reapir the East 175th Street bridge over Metro North Railroad, the Bronx",Design,03/11/2008,08/05/2021
01/2019,"Reapir the East 175th Street bridge over Metro North Railroad, the Bronx",Design,03/11/2008,05/11/2022
05/2019,"Reapir the East 175th Street bridge over Metro North Railroad, the Bronx",Construction Procurement,03/11/2008,09/30/2021
09/2019,"Reapir the East 175th Street bridge over Metro North Railroad, the Bronx",Construction Procurement,03/11/2008,
01/2020,"Reapir the East 175th Street bridge over Metro North Railroad, the Bronx",Construction Procurement,03/11/2008,06/22/2022
05/2020,"Reapir the East 175th Street bridge over Metro North Railroad, the Bronx",Construction Procurement,03/11/2008,
10/2020,"Reapir the East 175th Street bridge over Metro North Railroad, the Bronx",Construction Procurement,03/11/2008,05/19/2023
03/2018,"Rehabilitation of East 180th Street Bridge over Metro North Railroad, the Bronx",Design,02/06/2017,12/04/2021
08/2018,"Rehabilitation of East 180th Street Bridge over Metro North Railroad, the Bronx",Construction Procurement,02/06/2017,01/02/2022
01/2019,"Rehabilitation of East 180th Street Bridge over Metro North Railroad, the Bronx",Construction Procurement,02/06/2017,03/24/2022
05/2019,"Rehabilitation of East 180th Street Bridge over Metro North Railroad, the Bronx",Construction Procurement,02/06/2017,09/26/2022
09/2019,"Rehabilitation of East 180th Street Bridge over Metro North Railroad, the Bronx",Construction Procurement,02/06/2017,01/14/2023
01/2020,"Rehabilitation of East 180th Street Bridge over Metro North Railroad, the Bronx",Construction Procurement,02/06/2017,09/24/2022
05/2020,"Rehabilitation of East 180th Street Bridge over Metro North Railroad, the Bronx",Construction Procurement,02/06/2017,
10/2020,"Rehabilitation of East 180th Street Bridge over Metro North Railroad, the Bronx",Construction Procurement,02/06/2017,10/16/2023
03/2018,Design and construction of a new school,Construction Procurement,07/14/2017,09/03/2021
08/2018,Design and construction of an addition to an existing school.,Construction,07/14/2017,09/03/2021
01/2019,Design and construction of a new school,Construction,07/14/2017,09/03/2021
05/2019,Design and construction of a new school,Construction,07/14/2017,09/03/2021
09/2019,Design and construction of a new school,Construction,07/14/2017,09/03/2021
01/2020,ADDITION,Construction,07/14/2017,09/03/2021
05/2020,ADDITION,Construction,07/14/2017,09/03/2021
10/2020,ADDITION,Construction,07/14/2017,09/03/2021
03/2021,ADDITION,Construction,07/14/2017,09/03/2021
03/2018,Design and construction of a new school,Construction,11/15/2016,09/03/2021
08/2018,Design and construction of a new school,Construction,11/15/2016,09/03/2021
01/2019,Design and construction of a new school,Construction,11/15/2016,09/03/2021
05/2019,Design and construction of a new school,Construction,11/15/2016,09/03/2021
09/2019,Design and construction of a new school,Construction,11/15/2016,09/03/2021
01/2020,NEW SCHOOL/DEMOLITION,Construction,11/15/2016,09/03/2021
05/2020,NEW SCHOOL/DEMOLITION,Construction,11/15/2016,09/03/2021
10/2020,NEW SCHOOL/DEMOLITION,Construction,11/15/2016,09/03/2021
03/2021,NEW SCHOOL / DEMOLITION,Construction,11/15/2016,09/03/2021
03/2018,Design and construction of a new school,Construction Procurement,12/27/2016,09/03/2021
08/2018,Design and construction of a new school,Construction,12/27/2016,09/03/2021
01/2019,Design and construction of a new school,Construction,12/27/2016,09/03/2021
05/2019,Design and construction of a new school,Construction,12/27/2016,09/03/2021
09/2019,Design and construction of a new school,Construction,12/27/2016,09/03/2021
01/2020,NEW SCHOOL,Construction,12/27/2016,09/03/2021
05/2020,NEW SCHOOL,Construction,12/27/2016,09/03/2021
10/2020,NEW SCHOOL,Construction,12/27/2016,09/03/2022
03/2021,NEW SCHOOL,Construction,12/27/2016,09/03/2022
03/2018,"The scope includes expanding and raising the existing medians (currently in temporary materials) and includes sidewalk extensions, street trees (where feasible), benches, and wayfinding.",Design,07/14/2016,06/07/2021
08/2018,"The scope includes expanding and raising the existing medians (currently in temporary materials) and includes sidewalk extensions, street trees (where feasible), benches, and wayfinding.",Construction Procurement,07/14/2016,07/28/2021
