Department Name,SubDept Code,SubDept Name,Program Name,Performance Measure Code,Performance Measure Name,Budget
Cultural Affairs,30LVL5,Cultural Affairs,Grants Program,30RESIDENTS,Number of Los Angeles Residents and Visitors Served,2021-22 Adopted
Information Technology Agency,32LVL5,Information Technology Agency,Public Safety Applications,32PSSYSTEMS,Percent of System Availability for Public Safety Systems,2021-22 Adopted
Information Technology Agency,32LVL5,Information Technology Agency,Public Safety Communications,32PSRADIO,Percent of System Availability for LAFD & LAPD Radio Systems,2021-22 Adopted
Information Technology Agency,32LVL5,Information Technology Agency,Customer Engagement,32311CALLS,Percent of 3-1-1 Calls Answered,2021-22 Adopted
Information Technology Agency,32LVL5,Information Technology Agency,Client Services and Support,32EMAIL,Percent of Email System Availability,2021-22 Adopted
Information Technology Agency,32LVL5,Information Technology Agency,Enterprise Applications,32LATAX,Percent of LATAX System Availability in Tax Renewal Season,2021-22 Adopted
Information Technology Agency,32LVL5,Information Technology Agency,Enterprise and Cloud Infrastructure,32DATACENTER,Percent of Data Center Servers Virtualized,2021-22 Adopted
Information Technology Agency,32LVL5,Information Technology Agency,Voice and Video Engineering and Operations,32VOICE,"Percent of Voice, Call Center, & Video Systems Availability",2021-22 Adopted
Information Technology Agency,32LVL5,Information Technology Agency,Data Engineering and Operations,32NETWORK,Percent of Network Availability,2021-22 Adopted
Information Technology Agency,32LVL5,Information Technology Agency,Business Applications and Web Services,32WEBSITE,Percent of LACity.org Website Availability,2021-22 Adopted
El Pueblo de Los Angeles,33LVL5,El Pueblo de Los Angeles,History and Museums,33ELPMUSVIS,Number of Individual Visitors,2021-22 Adopted
El Pueblo de Los Angeles,33LVL5,El Pueblo de Los Angeles,Marketing and Events,33ELPATTEND,"Number of Cultural, Traditional, and Informational Attendees",2021-22 Adopted
El Pueblo de Los Angeles,33LVL5,El Pueblo de Los Angeles,Property Management,33PERCENTWO,Percent of Work Orders Completed,2021-22 Adopted
Emergency Management,35LVL5,Emergency Management,Emergency Management,35COMMUNITYPLAN,Number of Neighborhood/Community Plans Prepared,2021-22 Adopted
Emergency Management,35LVL5,Emergency Management,Emergency Management,35NOTIFYLA,Number of New Subscribers Registered for NotifyLA,2021-22 Adopted
Employee Relations Board,36LVL5,Employee Relations Board,Employee Relations,36UERP,Number of UERP Related Filings,2021-22 Adopted
Fire,38LVL5,Fire,Arson Investigation and Counter-Terrorism,38INVESTIGATION,Percentage Convictions in Arson Cases,2021-22 Adopted
Fire,38LVL5,Fire,Fire Suppression,38FIRETRAVEL,Average Travel Time to Fire Incident,2021-22 Adopted
Fire,38LVL5,Fire,Fire Suppression,38FIRETURNOUT,Average Time to Leave Station after Notified - Fire Incident,2021-22 Adopted
Fire,38LVL5,Fire,Metropolitan Fire Communications,38DISPATCH,Call Processing Time,2021-22 Adopted
Fire,38LVL5,Fire,Hazardous Materials Enforcement,38REVENUE,Hazardous Materials Enforcement Revenue Collected,2021-22 Adopted
Fire,38LVL5,Fire,Fire Prevention,38INSPECTION,Percent of Construction Inspections Completed in 72 hours,2021-22 Adopted
Fire,38LVL5,Fire,Emergency Medical Service,38EMSTRAVEL,Average Travel Time to EMS Incident,2021-22 Adopted
Fire,38LVL5,Fire,Emergency Medical Service,38EMSTURNOUT,Average Time to Leave Station after Notified - EMS Incident,2021-22 Adopted
Fire,38LVL5,Fire,Training,38TRAINING,Recruit Class Retention Rate,2021-22 Adopted
Fire,38LVL5,Fire,"Procurement, Maintenance and Repair",38FLEET,Fleet Availability Rate,2021-22 Adopted
Finance,39LVL5,Finance,Revenue Management,39COLLECTION,Percent of Delinquent Accounts Collected,2021-22 Adopted
Finance,39LVL5,Finance,Treasury Services,39TREASURYNEW,Percent of Treasury Requests Responded to in One Day,2021-22 Adopted
Finance,39LVL5,Finance,LATAX System Support,39LATAXWEB,Percent of Customer Transactions Conducted on Website,2021-22 Adopted
Finance,39LVL5,Finance,Customer Support,39CALLSANSWERED,Average Speed of Calls Answered (minutes),2021-22 Adopted
Finance,39LVL5,Finance,Investment,39INVESTVAR,Variance Between Investment Return and Industry Benchmarks,2021-22 Adopted
Finance,39LVL5,Finance,Tax and Permit,39LIABILITY,Percent of Audits with Liability Adjustments,2021-22 Adopted
General Services,40LVL5,General Services,Custodial Services,40CLEAN,Percent of Municipal Facilities Cleaned Daily,2021-22 Adopted
General Services,40LVL5,General Services,Building Maintenance,40MAINTENANCE,Percent of Maintenance Work Requests Completed,2021-22 Adopted
General Services,40LVL5,General Services,Construction Forces,40CONSTESTIMATE,Construction Projects Completed within Original Estimate,2021-22 Adopted
General Services,40LVL5,General Services,Real Estate Services,40LEASEPROJ,Number of Lease Projects Assigned,2021-22 Adopted
General Services,40LVL5,General Services,Parking Services,40PARKINGREV,Revenue from Department-Operated Parking Facilities,2021-22 Adopted
General Services,40LVL5,General Services,Emergency Management and Special Services,40DRILLS1,Number of Required Biannual Emergency Drills Completed,2021-22 Adopted
General Services,40LVL5,General Services,Fleet Services,40BOSVEHICLES,Vehicle Availability Rate for Bureau of Sanitation,2021-22 Adopted
General Services,40LVL5,General Services,Fuel and Environmental Compliance,40FUELSITE,Percent of City-Owned Fuel Sites Inspected Monthly,2021-22 Adopted
General Services,40LVL5,General Services,Standards and Testing Services,40MATTEST,Number of Materials Tests for Pavement Preservation Program,2021-22 Adopted
General Services,40LVL5,General Services,Supply Management,40POS,"Number of Days to Process Purchase Orders under $100,000",2021-22 Adopted
General Services,40LVL5,General Services,Mail Services,40POSTAGE,Postage Savings Derived from the Mail Automation Program,2021-22 Adopted
General Services,40LVL5,General Services,Integrated Asset Services,40INTEGRATEDASSTMGMT,Integrated Asset Management Implementation Tasks Completed,2021-22 Adopted
Housing,43LVL5,Housing,Development and Finance,43AFFORDABLE,Affordable Housing Units Completed,2021-22 Adopted
Housing,43LVL5,Housing,Asset Management,43MONITOR,Number of Affordable Housing Units Monitored for Compliance,2021-22 Adopted
Housing,43LVL5,Housing,Rent Stabilization,43TENANT,Percent of Tenant Rent Complaints Resolved Within 120 Days,2021-22 Adopted
Housing,43LVL5,Housing,Multi-family Residential Code Enforcement,43SCEPUNIT,Systematic Code Enforcement Program (SCEP) Units Inspected,2021-22 Adopted
Housing,43LVL5,Housing,Code and Rent Compliance,43RENTAL,Rental Units Restored to Safe Living Conditions,2021-22 Adopted
Housing,43LVL5,Housing,Program Operations,43DVVICTIM,Number of Domestic Violence Victims Served,2021-22 Adopted
Housing,43LVL5,Housing,Housing Strategies and Services,43HOMEOWNER,Total New Homes Purchased or Households Assisted,2021-22 Adopted
Housing,43LVL5,Housing,Accessible Housing Program,43ACCESSIBLE,Units Certified as Accessible,2021-22 Adopted
Library,44LVL5,Library,Branch Library Services,44BRANCH,Number of People Attending Branch Library Programs,2021-22 Adopted
Library,44LVL5,Library,Central Library Services,44CENTRAL,Number of People Attending Central Library Programs,2021-22 Adopted
Neighborhood Empowerment,47LVL5,Neighborhood Empowerment,Neighborhood Council System Development,47SUPPORT,Percentage of Staffed Neighborhood Council Meetings,2021-22 Adopted
Neighborhood Empowerment,47LVL5,Neighborhood Empowerment,Planning and Policy,47CIS,Number of Community Impact Statements Submitted by NCs,2021-22 Adopted
Neighborhood Empowerment,47LVL5,Neighborhood Empowerment,Neighborhood Council Administrative Support,47ELCAN,Number of Candidates for Neighborhood Council Elections,2021-22 Adopted
Neighborhood Empowerment,47LVL5,Neighborhood Empowerment,Neighborhood Council Administrative Support,47ELVOT,Number of Voters for Neighborhood Council Elections,2021-22 Adopted
Neighborhood Empowerment,47LVL5,Neighborhood Empowerment,Office of Community Engagement and Innovation,47CIVICUNIVERSITY,Number of Civic University Sessions directed to NC Board,2021-22 Adopted
Convention and Tourism Development,48LVL5,Convention and Tourism Development,Convention and Tourism Development,48LEISUREJOBS,Number of Leisure and Hospitality Jobs in Los Angeles County,2021-22 Adopted
Disability,65LVL5,Disability,ADA Compliance,65SLICART,Percentage of SLI and CART Requests Filled,2021-22 Adopted
Disability,65LVL5,Disability,Community Affairs and Outreach,65OUTREACH,Percentage of Resource Center Inquiries Filled,2021-22 Adopted
Disability,65LVL5,Disability,AIDS Coordinator's Office,65SYRINGE,Number of Syringes Removed,2021-22 Adopted
Personnel,66LVL5,Personnel,Public Safety Employment,66POLICEHIRE,Number of Police Officers Hired Pursuant to LAPD Hiring Plan,2021-22 Adopted
Personnel,66LVL5,Personnel,Employee Selection,66EXAM,Percent of Exams Completed in 150 Days,2021-22 Adopted
Personnel,66LVL5,Personnel,Workers' Compensation and Safety,66WCCOST,Amount of Monthly Workers' Compensation Costs Avoided,2021-22 Adopted
Personnel,66LVL5,Personnel,Employee Benefits,66VANPOOL,Percent Increase in Vanpool Participants,2021-22 Adopted
Personnel,66LVL5,Personnel,Occupational Health,66CLINIC,Wait Time at Clinic for Exam,2021-22 Adopted
Personnel,66LVL5,Personnel,Custody Medical Care,66ARRESTEE,Time to Medically Clear Arrestees in City Jails,2021-22 Adopted
Personnel,66LVL5,Personnel,Office of Workplace Equity,66EEOCOMPLAIN,Percent of Complainants Contacted Within 10 Days,2021-22 Adopted
Personnel,66LVL5,Personnel,Employee Training and Development,66ONLINE,Number of Non-Mandated Courses Completed Online,2021-22 Adopted
Personnel,66LVL5,Personnel,Client Services,66HIRELENGTH,Number of Days from Start of Hiring Process to Job Offer,2021-22 Adopted
City Planning,68LVL5,City Planning,Citywide Planning,68ELEMENT,Number of State Mandated Elements Less Than Eight Years Old,2021-22 Adopted
City Planning,68LVL5,City Planning,Community Planning,68COMMUNITYPLANS,Number of Community Plans Less Than Ten Years Old,2021-22 Adopted
City Planning,68LVL5,City Planning,Historic Resources,68CERTIFICATE,Percent of Certificate Cases Completed within 75 Days,2021-22 Adopted
City Planning,68LVL5,City Planning,Development Services,68CUSTOMER,Annual Number of Customers Served,2021-22 Adopted
City Planning,68LVL5,City Planning,Neighborhood Initiatives and Transit Oriented Planning,68TRANSIT,Percent of Phase 2 Transit Neighborhood Plans Completed,2021-22 Adopted
City Planning,68LVL5,City Planning,Geographic Project Planning,68CASES,Annual Number of Cases Completed,2021-22 Adopted
City Planning,68LVL5,City Planning,Major Projects and Project Plan Support,68EIRS,Entitlement Cases Requiring an Environmental Impact Report,2021-22 Adopted
Police,70LVL5,Police,Field Forces,70CRIME,Total Number of Crime Incidents,2021-22 Adopted
Police,70LVL5,Police,Specialized Investigation,70GANG,Number of Gang-Related Homicides,2021-22 Adopted
Police,70LVL5,Police,Custody of Persons and Property,70BOOKING,Average Processing Time for Non-Medical Bookings,2021-22 Adopted
Police,70LVL5,Police,Traffic Control,70HITRUN,Number of Traffic Hit and Run Collisions,2021-22 Adopted
Police,70LVL5,Police,Specialized Enforcement and Protection,70ARRESTS,Metropolitan Division Felony and Misdemeanor Arrests,2021-22 Adopted
Police,70LVL5,Police,Personnel Training and Support,70WORKERCOMP,Number of Workers' Compensation Claims,2021-22 Adopted
Police,70LVL5,Police,Internal Integrity and Standards Enforcement,70INTERNAL,Internal Affairs Investigations Closed within Five Months,2021-22 Adopted
Board of Public Works,74LVL5,Board of Public Works,Office of Community Beautification,74GRAFFITI,Percent of Graffiti Removal Requests Completed in 48 Hours,2021-22 Adopted
Board of Public Works,74LVL5,Board of Public Works,Office of Community Beautification,74GRAFFITI-24HRS,Percent of Graffiti Removal Requests Completed in 24 Hours,2021-22 Adopted
Board of Public Works,74LVL5,Board of Public Works,Public Works Accounting,74PAYMENTS,Percentage of All Payments Processed within 30 Days,2021-22 Adopted
Board of Public Works,74LVL5,Board of Public Works,Public Works Board and Board Secretariat,74JOURNALS,Percent of Board Meeting Journals Posted within 24 Hours,2021-22 Adopted
Bureau of Contract Administration,76LVL5,Bureau of Contract Administration,Construction Inspection,76RETENTION,Number of Days for Final Retention Requests to be Processed,2021-22 Adopted
Bureau of Contract Administration,76LVL5,Bureau of Contract Administration,Contract Compliance,76LOCALHIRE,Percent of Hours Worked by Local Hires at PLA Projects,2021-22 Adopted
Bureau of Engineering,78LVL5,Bureau of Engineering,Clean Water Infrastructure,78WATER,Number of Completed Clean Water Capital Projects,2021-22 Adopted
Bureau of Engineering,78LVL5,Bureau of Engineering,Development Services and Permits,78APERMIT,Percent of A Permits Issued within 60 Minutes,2021-22 Adopted
Bureau of Engineering,78LVL5,Bureau of Engineering,Mobility,78MOBILITY,Number of Completed Mobility Capital Projects,2021-22 Adopted
Bureau of Engineering,78LVL5,Bureau of Engineering,Public Buildings and Open Spaces,78BUILDING,Number of Completed Building & Open Spaces Capital Projects,2021-22 Adopted
Bureau of Sanitation,82LVL5,Bureau of Sanitation,Watershed Protection,82CATCHBASIN,Number of Catch Basins Cleaned,2021-22 Adopted
Bureau of Sanitation,82LVL5,Bureau of Sanitation,Clean Water,82SEWER,Sewer Miles Cleaned,2021-22 Adopted
Bureau of Sanitation,82LVL5,Bureau of Sanitation,Solid Resources,82BULKYITEM,Citywide Bulky Item Pick-up Rate,2021-22 Adopted
Bureau of Sanitation,82LVL5,Bureau of Sanitation,Environmental Quality,82CLOSEOUT,Average Number of Days to Close Out a Service Request,2021-22 Adopted
Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,Design and Construction,84LEDPERCENT,Percentage of Streetlights Converted to LED,2021-22 Adopted
Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,"System Operation, Maintenance, and Repair",84OUTAGE,Single Streetlight Outage Response Time,2021-22 Adopted
Bureau of Street Lighting,84LVL5,Bureau of Street Lighting,Street Lighting Assessment,84SLMAF,Street Lighting Maintenance Assessment Fund Revenue,2021-22 Adopted
Bureau of Street Services,86LVL5,Bureau of Street Services,Investigation and Enforcement,86INSPECTION,Average Number of Days to Inspect Obstruction Requests,2021-22 Adopted
Bureau of Street Services,86LVL5,Bureau of Street Services,Street Sweeping,86SWEEPING,Percent of Posted Street Sweeping Routes Completed,2021-22 Adopted
Bureau of Street Services,86LVL5,Bureau of Street Services,Street Tree and Parkway Maintenance,86TREELIMB,Average Working Days to Complete Tree Emergencies,2021-22 Adopted
Bureau of Street Services,86LVL5,Bureau of Street Services,Maintaining Streets,86POTHOLE,Average Number of Working Days to Repair Potholes,2021-22 Adopted
Bureau of Street Services,86LVL5,Bureau of Street Services,Pavement Preservation,86GOODREPAIR,Percent of Street Network in Good Repair,2021-22 Adopted
